NCT_Number,Study_Title,Study_Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder_Type,Study_Type,Study_Design,Start_Date,Primary_Completion_Date,Completion_Date,First_Posted,Last_Update_Posted,Locations
NCT07290231,Effects of Core Strengthening Exercises With Diapgragmatic Breathing Versus Core Strengthening Exercises With Pilate Breathing in Diabetes Type II Patients,RECRUITING,Diabetes Type II,OTHER: Core Strengthening with Diaphragmatic Breathing|OTHER: core strengthening with pilate breathing,Foundation University Islamabad,,ALL,ADULT,NA,56,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: SINGLE (PARTICIPANT) | Primary Purpose: TREATMENT,06-08-2025,03-01-2026,10-02-2026,18-12-2025,18-12-2025,"Foundation University College of Physical Therapy, Islamabad, 44000, Islamabad, Pakistan"
NCT02074540,The Influence of Health Beliefs and Uncertainty on Diabetes Type II Patient Compliance,UNKNOWN,Diabetes Type II,OTHER: Questionnaire,Hillel Yaffe Medical Center,,ALL,"ADULT, OLDER_ADULT",,100,OTHER_GOV,OBSERVATIONAL,Observational Model: CASE_ONLY | Time Perspective: PROSPECTIVE,2014-04,2014-08,2014-12,28-02-2014,28-02-2014,
NCT02326129,Novel Biomarker for Development of T2D,COMPLETED,Diabetes Type II,,Duke University,Children's Miracle Network|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),ALL,"CHILD, ADULT",,202,OTHER,OBSERVATIONAL,Observational Model: CASE_CONTROL | Time Perspective: PROSPECTIVE,2015-02,05-04-2023,05-04-2023,25-12-2014,07-08-2023,"Pennington Biomedical Research center, Baton Rouge, Louisiana, 70803, United States|UNC Chapel Hill, Chapel Hill, North Carolina, 27514, United States|Duke University, Durham, North Carolina, 27710, United States"
NCT06864546,A Participatory Approach to Support Glucose Tolerance Tracking in Real-Life of Patients With Type 2 Diabetes,RECRUITING,"Type 2 Diabetes Mellitus, Non Insulin Dependent",BEHAVIORAL: Physical activity intervention,Enea Parimbelli,Istituti Clinici Scientifici Maugeri SpA|University of Padova,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: BASIC_SCIENCE,2025-05,2025-12,15-01-2026,07-03-2025,30-04-2025,"Istituti Clinici Scientifici Maugeri di Pavia, Pavia, Pavia, 27100, Italy"
NCT04501341,BM-MNC and UCMSC for Type 2 Diabetes Mellitus Patients,UNKNOWN,T2D,"BIOLOGICAL: Bone-marrow aspiration, Intra-pancreatic Catheterisation of BM-MNC|BIOLOGICAL: Intravenous Infusion of UC-MSC",Indonesia University,Dr Cipto Mangunkusumo General Hospital,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,15,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,14-03-2016,01-12-2021,01-12-2021,06-08-2020,06-08-2020,"Faculty of Medicine, Universitas Indonesia, Jakarta Pusat, DKI Jakarta, 10430, Indonesia"
NCT02361489,Clinical Study to Compare Various Dosing and Titration Guidelines of Insulin Delivered Via V-Go ® in Patients With Type 2 Diabetes Initiating Basal Bolus Therapy in Primary Care Offices,UNKNOWN,Diabetes Type II,DEVICE: V-Go,"Valeritas, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE4,90,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,2015-02,2016-02,2016-04,11-02-2015,11-02-2015,"Geisinger, Wilkes-Barre, Pennsylvania, 18702, United States"
NCT01713764,A Pilot Study of the Effects of Diet and Behavioral Interventions on Health in Diabetics,COMPLETED,Diabetes Type II,BEHAVIORAL: Low Carbohydrate Diet|BEHAVIORAL: American Diabetes Association Diet|BEHAVIORAL: Mindfulness and Positive Affect Skills,"University of California, San Francisco",,ALL,"ADULT, OLDER_ADULT",PHASE2,34,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,2012-10,2013-11,2013-11,25-10-2012,30-12-2013,"Osher Center for Integrative Medicine, San Francisco, California, 94143, United States"
NCT01121315,A Retrospective Study of Cardiovascular Events Related to the Use of Glucose Lowering Drug Treatment in Primary Care,COMPLETED,Diabetes Type II,,AstraZeneca,,ALL,"CHILD, ADULT, OLDER_ADULT",,58326,INDUSTRY,OBSERVATIONAL,Time Perspective: RETROSPECTIVE,2010-05,2011-08,2011-08,12-05-2010,11-05-2012,"Research Site, Uppsala, Sweden"
NCT05767372,Effect of Coherent Breathing on Elderly Quality of Life,COMPLETED,Stable Diabetes Mellitus|Geriatrics|Hypertension,OTHER: Coherent Breathing Exercise|DEVICE: Inspiratory muscle training,Cairo University,,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: SINGLE (PARTICIPANT) | Primary Purpose: TREATMENT,01-03-2023,15-06-2023,30-06-2023,14-03-2023,13-09-2023,"Faculty of physical therapy outpatient clinic, Cairo, Giza Governorate, 12613, Egypt"
NCT05980754,Clinical Study on Exploring High Risk Factors Inducing the Progress of Diabetes,UNKNOWN,T2D,,Peking University Third Hospital,,ALL,"ADULT, OLDER_ADULT",,90,OTHER,OBSERVATIONAL,Observational Model: OTHER | Time Perspective: CROSS_SECTIONAL,20-05-2024,30-12-2025,30-12-2025,08-08-2023,15-03-2024,
